"filename", "language", "JavaScript", "XML", "JavaScript JSX", "CSS", "JSON", "comment", "blank", "total"
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Subheading/index.css", "CSS", 0, 0, 0, 6, 0, 0, 1, 7
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Subheading/index.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 4, 13
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/SuccessToast/index.jsx", "JavaScript JSX", 0, 0, 48, 0, 0, 0, 4, 52
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/dummy-data.json", "JSON", 0, 0, 0, 0, 298, 0, 0, 298
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/features/authSlice.js", "JavaScript", 113, 0, 0, 0, 0, 4, 9, 126
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/features/authorSlice.js", "JavaScript", 78, 0, 0, 0, 0, 5, 7, 90
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/features/blogsSlice.js", "JavaScript", 212, 0, 0, 0, 0, 6, 11, 229
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/features/categoriesSlice.js", "JavaScript", 159, 0, 0, 0, 0, 2, 9, 170
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/hooks/useBlogs.js", "JavaScript", 42, 0, 0, 0, 0, 1, 9, 52
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/hooks/useCategories.js", "JavaScript", 35, 0, 0, 0, 0, 0, 9, 44
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/index.css", "CSS", 0, 0, 0, 12, 0, 0, 2, 14
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/index.js", "JavaScript", 17, 0, 0, 0, 0, 3, 3, 23
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/logo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Blog/index.css", "CSS", 0, 0, 0, 18, 0, 0, 3, 21
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Blog/index.jsx", "JavaScript JSX", 0, 0, 89, 0, 0, 0, 10, 99
"/Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Blogs/index.css", "CSS", 0, 0, 0, 13, 0, 0, 2, 15
